7f907515-a1bf-4513-8a38-92e1a07c539d	ASIN
3187432f-9434-40a8-8782-35a111a1491e	BNB
5069054d-bc3a-4212-a4e8-e2013a02386f	Cancelled GPO item number
fc4e3f2a-887a-46e5-8057-aeeb271a4e56	Cancelled system control number
593b78cb-32f3-44d1-ba8c-63fd5e6989e6	CODEN
5d164f4b-0b15-4e42-ae75-cfcf85318ad9	Control number
39554f54-d0bb-4f0a-89a4-e422f6136316	DOI
e133d384-332d-11ea-a8a4-ff796e46a18d	GBV Number
351ebc1c-3aae-4825-8765-c6d50dbf011f	GPO item number
216b156b-215e-4839-a53e-ade35cb5702a	Handle
fcca2643-406a-482a-b760-7a7f8aec640e	Invalid ISBN
27fd35a6-b8f6-41f2-aa0e-9c663ceb250c	Invalid ISSN
8261054f-be78-422d-bd51-4ed9f33c3422	ISBN
913300b2-03ed-469a-8179-c1092c991227	ISSN
c858e4f2-2b6b-4385-842b-60732ee14abb	LCCN
5860f255-a27f-4916-a830-262aa900a6b9	Linking ISSN
5130aed5-1095-4fb6-8f6f-caa3d6cc7aae	Local identifier
439bfbae-75bc-4f74-9fc7-b2a2d47ce3ef	OCLC
2e8b3b6c-0e7d-4e48-bca2-b0b23b376af5	Other standard identifier
1d5cb40c-508f-451b-8952-87c92be4255a	PPN
6048004e-75bc-11ea-8ddd-5a780fe0d4e4	PPN SWB
b5d8cdc4-9441-487c-90cf-0c7ec97728eb	Publisher or distributor number
37b65e79-0392-450d-adc6-e2a1f47de452	Report number
8e3dd25e-db82-4b06-8311-90d41998c109	Standard technical report number
3fbacad6-0240-4823-bce8-bb122cfdf229	StEdNL
7e591197-f335-4afb-bc6d-a6d76ca3bace	System control number
650ef996-35e3-48ec-bf3a-a0d078a0ca37	UkMac
eb7b2717-f149-4fec-81a3-deefb8f5ee6b	URN
